,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
materials_extraction_China,2.149440496215792e-06,1.3920149850429235e-07,8.462338657823975e-07
construction_China,5.677253214042696e-06,3.91475215875861e-07,9.185380941909886e-07
operation_China,0.12489493720106336,0.0013330744796936024,7.065298846697868e-05
materials_extraction_Cambodia,1.104151262753478e-06,4.3000173980145757e-08,2.6202987728960967e-07
construction_Cambodia,5.848750998414144e-06,2.853220418841479e-07,2.914315217539953e-07
operation_Cambodia,0.09066404955280993,0.0009148640124955968,4.752013713578959e-05
materials_extraction_LaoPDR,1.0434589329898098e-06,3.902848816567645e-08,2.3756302715869775e-07
construction_LaoPDR,5.794868002050816e-06,2.81090951157382e-07,2.651861140019231e-07
operation_LaoPDR,0.023850535805538108,0.00025984717507386405,1.3791522741708016e-05
materials_extraction_Myanmar,1.4206265045915083e-06,6.373198154412214e-08,3.897500232220959e-07
construction_Myanmar,6.129833967482738e-06,3.0741033281913503e-07,4.284485204321769e-07
operation_Myanmar,0.051368744147619765,3.578957204861607e-05,6.147534645713862e-07
materials_extraction_Thailand,5.675622937838122e-07,3.8452987767521236e-08,2.3753983813308636e-07
construction_Thailand,3.1232606218985724e-06,2.7786018425480986e-07,2.6505593453256343e-07
operation_Thailand,0.1495325839319757,0.0004118341041230082,1.9915634560938556e-05
materials_extraction_Vietnam,6.369630950788792e-07,4.415612230752539e-08,2.728068665784099e-07
construction_Vietnam,3.1892223323121837e-06,2.8394499330891487e-07,3.02887234628985e-07
operation_Vietnam,0.08587468084201874,0.0006356589822346369,3.288453722949102e-05
